# Linear Search. Time expressed in microseconds
#     Size        Best         Worst      Average
#------------------------------------------------
     10000        0.023        2.534        1.459
     20000        0.023        5.665        3.886
     30000        0.023        8.794        5.351
     40000        0.023       10.735        5.797
     50000        0.023       13.390        7.276
     60000        0.023       16.118        8.702
     70000        0.023       18.722       10.122
     80000        0.023       21.448       11.883
     90000        0.023       24.253       13.001
    100000        0.023       26.749       14.411
