# InsertionSort: Time in microseconds
#   Size        Best        Worst       Average
# -----------------------------------------------
   1000         0.800       134.612        74.623
   2000         1.600       466.713       258.892
   3000         2.400      1032.414       540.515
   4000         3.200      1814.112       942.687
   5000         4.000      2836.636      1454.230
   6000         4.800      4075.949      2076.510
   7000         5.612      5537.346      2814.410
   8000         6.400      7216.270      3666.207
   9000         7.213      9134.792      4625.515
  10000         8.005     11279.464      5694.141
