# Linear Search. Time expressed in microseconds
#     Size        Best         Worst      Average
#------------------------------------------------
     10000        0.017        1.719        0.917
     20000        0.015        3.595        2.521
     30000        0.015        5.733        2.798
     40000        0.015        8.518        3.973
     50000        0.015        9.143        4.808
     60000        0.015       10.968        5.928
     70000        0.015       12.787        6.923
     80000        0.015       15.949        7.904
     90000        0.015       18.014        8.856
    100000        0.015       18.247        9.788
