# InsertionSort (time in microseconds)
#    Size          Best          Worst        Average
# ------------------------------------------------------
     1000         0.888       121.759        65.533
     2000         1.666       447.604       232.199
     3000         2.479       985.877       505.109
     4000         3.295      1733.856       883.935
     5000         4.103      2706.242      1367.915
     6000         4.904      3886.009      1962.298
     7000         5.720      5276.150      2671.622
     8000         6.546      6875.183      3489.493
     9000         7.344      8692.907      4409.574
    10000         8.160     10719.254      5440.247
