# Linear Search. Time expressed in microseconds
#     Size        Best         Worst      Average
#------------------------------------------------
     10000        0.016        1.781        0.861
     20000        0.015        3.496        1.703
     30000        0.015        5.327        2.551
     40000        0.015        6.875        3.386
     50000        0.015        8.592        5.156
     60000        0.015       10.231        5.218
     70000        0.015       11.911        5.893
     80000        0.015       13.457        7.996
     90000        0.015       15.159        7.586
    100000        0.015       16.942        8.429
