Ciclo: 8, Señal: IFnop; Instrucción bne t3,x0,8 [endloop]
Ciclo: 8, Señal: Salto Efectivo; Instrucción bne t3,x0,8 [endloop]
Ciclo: 10, Señal: IFnop; Instrucción bne t1,x0,-20 [loop]
Ciclo: 10, Señal: Salto Efectivo; Instrucción bne t1,x0,-20 [loop]
Ciclo: 15, Señal: IFnop; Instrucción bne t3,x0,8 [endloop]
Ciclo: 15, Señal: Salto Efectivo; Instrucción bne t3,x0,8 [endloop]
Ciclo: 17, Señal: IFnop; Instrucción bne t1,x0,-20 [loop]
Ciclo: 17, Señal: Salto Efectivo; Instrucción bne t1,x0,-20 [loop]
Ciclo: 24, Señal: IFnop; Instrucción bne t1,x0,-20 [loop]
Ciclo: 24, Señal: Salto Efectivo; Instrucción bne t1,x0,-20 [loop]
Ciclo: 29, Señal: IFnop; Instrucción bne t3,x0,8 [endloop]
Ciclo: 29, Señal: Salto Efectivo; Instrucción bne t3,x0,8 [endloop]
Ciclo: 31, Señal: IFnop; Instrucción bne t1,x0,-20 [loop]
Ciclo: 31, Señal: Salto Efectivo; Instrucción bne t1,x0,-20 [loop]
Ciclo: 38, Señal: IFnop; Instrucción bne t1,x0,-20 [loop]
Ciclo: 38, Señal: Salto Efectivo; Instrucción bne t1,x0,-20 [loop]
Ciclo: 43, Señal: IFnop; Instrucción bne t3,x0,8 [endloop]
Ciclo: 43, Señal: Salto Efectivo; Instrucción bne t3,x0,8 [endloop]
Ciclo: 45, Señal: IFnop; Instrucción bne t1,x0,-20 [loop]
Ciclo: 45, Señal: Salto Efectivo; Instrucción bne t1,x0,-20 [loop]
Ciclo: 50, Señal: IFnop; Instrucción bne t3,x0,8 [endloop]
Ciclo: 50, Señal: Salto Efectivo; Instrucción bne t3,x0,8 [endloop]
Ciclo: 52, Señal: IFnop; Instrucción bne t1,x0,-20 [loop]
Ciclo: 52, Señal: Salto Efectivo; Instrucción bne t1,x0,-20 [loop]
Ciclo: 57, Señal: IFnop; Instrucción bne t3,x0,8 [endloop]
Ciclo: 57, Señal: Salto Efectivo; Instrucción bne t3,x0,8 [endloop]
Ciclo: 59, Señal: IFnop; Instrucción bne t1,x0,-20 [loop]
Ciclo: 59, Señal: Salto Efectivo; Instrucción bne t1,x0,-20 [loop]
Ciclo: 64, Señal: IFnop; Instrucción bne t3,x0,8 [endloop]
Ciclo: 64, Señal: Salto Efectivo; Instrucción bne t3,x0,8 [endloop]
Ciclo: 66, Señal: IFnop; Instrucción bne t1,x0,-20 [loop]
Ciclo: 66, Señal: Salto Efectivo; Instrucción bne t1,x0,-20 [loop]
Ciclo: 76, Señal: corto MEMaEXalu_s; Rdst auipc t4,1 [%pcrel_hi(cont)](en MEM) == Rfte addi t4,t4,52 [%pcrel_lo(cont)](en EX)
Ciclo: 77, Señal: corto MEMaEXalu_s; Rdst addi t4,t4,52 [%pcrel_lo(cont)](en MEM) == Rfte sd t2,0(t4)(en EX)
Ciclo: 78, Señal: IFstall; Instrucción ecall
Ciclo: 79, Señal: IFstall; Instrucción ecall
Ciclo: 80, Señal: IFstall; Instrucción ecall
Ciclo: 81, Señal: IFstall; Instrucción ecall
