Ciclo: 13, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 14, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 27, Señal: corto MEMaEXalu_i; Rdst addi t1,t1,24(en MEM) == Rfte sub t4,t3,t1(en EX)
Ciclo: 28, Señal: corto MEMaIDcomp_s; Rdst sub t4,t3,t1(en MEM) == Rfte bne t4,zero,-76 [loop](en ID)
Ciclo: 28, Señal: IFnop; Instrucción bne t4,zero,-76 [loop]
Ciclo: 28, Señal: Salto Efectivo; Instrucción bne t4,zero,-76 [loop]
Ciclo: 36, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 37, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 50, Señal: corto MEMaEXalu_i; Rdst addi t1,t1,24(en MEM) == Rfte sub t4,t3,t1(en EX)
Ciclo: 51, Señal: corto MEMaIDcomp_s; Rdst sub t4,t3,t1(en MEM) == Rfte bne t4,zero,-76 [loop](en ID)
Ciclo: 51, Señal: IFnop; Instrucción bne t4,zero,-76 [loop]
Ciclo: 51, Señal: Salto Efectivo; Instrucción bne t4,zero,-76 [loop]
Ciclo: 59, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 60, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 73, Señal: corto MEMaEXalu_i; Rdst addi t1,t1,24(en MEM) == Rfte sub t4,t3,t1(en EX)
Ciclo: 74, Señal: corto MEMaIDcomp_s; Rdst sub t4,t3,t1(en MEM) == Rfte bne t4,zero,-76 [loop](en ID)
Ciclo: 74, Señal: IFnop; Instrucción bne t4,zero,-76 [loop]
Ciclo: 74, Señal: Salto Efectivo; Instrucción bne t4,zero,-76 [loop]
Ciclo: 82, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 83, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 96, Señal: corto MEMaEXalu_i; Rdst addi t1,t1,24(en MEM) == Rfte sub t4,t3,t1(en EX)
Ciclo: 97, Señal: corto MEMaIDcomp_s; Rdst sub t4,t3,t1(en MEM) == Rfte bne t4,zero,-76 [loop](en ID)
Ciclo: 97, Señal: IFnop; Instrucción bne t4,zero,-76 [loop]
Ciclo: 97, Señal: Salto Efectivo; Instrucción bne t4,zero,-76 [loop]
Ciclo: 105, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 106, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 119, Señal: corto MEMaEXalu_i; Rdst addi t1,t1,24(en MEM) == Rfte sub t4,t3,t1(en EX)
Ciclo: 120, Señal: corto MEMaIDcomp_s; Rdst sub t4,t3,t1(en MEM) == Rfte bne t4,zero,-76 [loop](en ID)
Ciclo: 120, Señal: IFnop; Instrucción bne t4,zero,-76 [loop]
Ciclo: 120, Señal: Salto Efectivo; Instrucción bne t4,zero,-76 [loop]
Ciclo: 128, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 129, Señal: Estructural_WBfp IDstall, IFstall; Instrucción fld f1,0(t1)
Ciclo: 142, Señal: corto MEMaEXalu_i; Rdst addi t1,t1,24(en MEM) == Rfte sub t4,t3,t1(en EX)
Ciclo: 143, Señal: corto MEMaIDcomp_s; Rdst sub t4,t3,t1(en MEM) == Rfte bne t4,zero,-76 [loop](en ID)
Ciclo: 143, Señal: IFnop; Instrucción bne t4,zero,-76 [loop]
